,ticker,name,common_name,sector
290,FAF,FIRST AMERICAN,First American Financial Corp,30302025.0
291,FANG.O,DIAMOND BAK EN,Diamondback Energy Inc,60101010.0
292,FAST.O,FASTENAL CO,Fastenal Co,55102015.0
293,FB.O,FACEBOOK INC A,Facebook Inc,10101020.0
294,FBHS.K,FORTUNE BR HO ,Fortune Brands Home & Security Inc,40202015.0
295,FCFS.O,FIRSTCASH INC,FirstCash Inc,30201020.0
296,FCN,FTI CONSULTING,FTI Consulting Inc,50205020.0
297,FCX,FREEPORTMCMORA,Freeport-McMoRan Inc,55102040.0
298,FDS,FACTSET RESRCH,Factset Research Systems Inc,30201030.0
299,FDX,FEDEX CORP,FedEx Corp,50206040.0
300,FE,FIRSTENERGY,FirstEnergy Corp,65101015.0
301,FFIN.O,FST FIN BNKSHS,First Financial Bankshares Inc,30101010.0
302,FFIV.O,F5 NETWORKS IN,F5 Networks Inc,10101010.0
303,FHI,FEDRTD HRM B O,Federated Hermes Inc,30202010.0
304,FHN,FRST HRZ CRP O,First Horizon Corp,30101010.0
305,FICO.K,FAIR ISAAC CRP,Fair Isaac Corp,50205020.0
306,FIS,FIDELITY NATL ,Fidelity National Information Services Inc,50205015.0
307,FISV.O,FISERV INC,Fiserv Inc,50205015.0
308,FITB.O,FIFTH THR BNCP,Fifth Third Bancorp,30101010.0
309,FIVE.O,FIVE BELOW INC,Five Below Inc,40401030.0
310,FL,FOOT LOCKER IN,Foot Locker Inc,40401020.0
311,FLO,FLOWERS FOODS,Flowers Foods Inc,45102020.0
312,FLR,FLUOR CORP,Fluor Corp,50101015.0
313,FLS,FLOWSERVE CP,Flowserve Corp,50202020.0
314,FLT,FLEETCOR TECHN,Fleetcor Technologies Inc,50205015.0
315,FMC,FMC CORP,FMC Corp,55201015.0
316,FNB,FNB CORPORATIO,FNB Corp,30101010.0
317,FOXA.O,FOX CORP A,Fox Corp,40301035.0
318,FOXF.O,FOX FCTRY HLG,Fox Factory Holding Corp,40203050.0
319,FR,FIRST INDUSTRI,First Industrial Realty Trust Inc,35102020.0
320,FRC,FRST REPBLIC B,First Republic Bank,30101010.0
321,FRT,FED RLTY INV T,Federal Realty Investment Trust,35102045.0
322,FSLR.O,FIRST SOLAR,First Solar Inc,60102020.0
323,FTNT.O,FORTINET,Fortinet Inc,10101015.0
324,FTV,FORTIVE CORPOR,Fortive Corp,50203000.0
325,FULT.O,FULTON FIN CP,Fulton Financial Corp,30101010.0
326,G,GENPACT LIMITE,Genpact Ltd,50205020.0
327,GATX.K,GATX CORPORATI,GATX Corp,50206050.0
328,GBCI.O,GLACIER BANCOR,Glacier Bancorp Inc,30101010.0
329,GD,GENERAL DYNAMI,General Dynamics Corp,50201020.0
330,GE,GENERAL ELEC C,General Electric Co,50203000.0
331,GEF,GREIF INC CL A,Greif Inc,50203030.0
332,GGG,GRACO,Graco Inc,50204050.0
333,GHC,GRAHAM HOLDGS,Graham Holdings Co,40201010.0
334,GILD.O,GILEAD SCI,Gilead Sciences Inc,20103015.0
335,GIS,GENERAL MILLS,General Mills Inc,45102020.0
336,GL,GLOBE LIFE INC,Globe Life Inc,30301010.0
337,GLW,CORNING INC,Corning Inc,10102015.0
338,GM,GENERAL MOTORS,General Motors Co,40101020.0
339,GMED.K,GLOBUS MEDICAL,Globus Medical Inc,20102010.0
340,GNRC.K,GENERAC HLD,Generac Holdings Inc,50204030.0
341,GNTX.O,GENTEX CORP,Gentex Corp,40101025.0
342,GO.O,GROCERY OUTL C,Grocery Outlet Holding Corp,45201010.0
343,GOOGL.O,ALPHABET INC A,Alphabet Inc,10101020.0
344,GPC,GENUINE PARTS ,Genuine Parts Co,40101025.0
345,GPN,GLOBL PAYMNTS,Global Payments Inc,50205015.0
346,GPS,GAP INC,Gap Inc,40401020.0
347,GRMN.O,GARMIN LTD,Garmin Ltd,40203010.0
348,GS,GOLDM SACHS GR,Goldman Sachs Group Inc,
349,GT.O,GODYR TIRE & R,Goodyear Tire & Rubber Co,40101015.0
350,GWW,W W GRAINGER I,W W Grainger Inc,50205010.0
351,HAE,HAEMONETICS,Haemonetics Corp,20102010.0
352,HAIN.O,HAIN CELESTIAL,Hain Celestial Group Inc,45102020.0
353,HAL,HALLIBURTON CO,Halliburton Co,60101030.0
354,HALO.O,HALOZYME THERA,Halozyme Therapeutics Inc,20103010.0
355,HAS.O,HASBRO INC,Hasbro Inc,40203045.0
356,HBAN.O,HUNTGTN BKSHR,Huntington Bancshares Inc,30101010.0
357,HBI,HANESBRANDS,HanesBrands Inc,40204020.0
358,HCA,HCA HEALTHCARE,HCA Healthcare Inc,20101010.0
359,HCSG.O,HEALTHCARE SVC,Healthcare Services Group Inc,20101025.0
360,HD,HOME DEPOT INC,Home Depot Inc,40401025.0
361,HE,HAWAIIAN ELECT,Hawaiian Electric Industries Inc,65101015.0
362,HELE.O,HELEN OF TROY,Helen of Troy Ltd,45201020.0
363,HES,HESS CORP,Hess Corp,60101015.0
364,HFC,HOLLYFRONTR CO,HollyFrontier Corp,60101020.0
365,HIG,HARTFORD FINL,Hartford Financial Services Group Inc,30302010.0
366,HII,HUNTINGTN INGA,Huntington Ingalls Industries Inc,50201020.0
367,HIW,HIGHWOODS PROP,Highwoods Properties Inc,35102030.0
368,HLT,HILTON WLDWD H,Hilton Worldwide Holdings Inc,40501025.0
369,HOG,HARLEY-DAVIDSO,Harley-Davidson Inc,40101020.0
370,HOLX.O,HOLOGIC INC,Hologic Inc,20102010.0
371,HOMB.O,HOME BANCSHARE,Home BancShares Inc,30101010.0
372,HON.O,HNYWL INTRTL O,Honeywell International Inc,50203000.0
373,HPE,HWLTT PCKRD EN,Hewlett Packard Enterprise Co,10101010.0
374,HPP,HUDSON PACIFIC,Hudson Pacific Properties Inc,35102030.0
375,HPQ,HP INC,HP Inc,10102030.0
376,HQY.O,HEALTHEQUITY I,Healthequity Inc,20101020.0
377,HR,HEALTHCARE REA,Healthcare Realty Trust Inc,35102010.0
378,HRB,H & R BLOCK IN,H & R Block Inc,40201070.0
379,HRC,HILL-ROM HOLDN,Hill-Rom Holdings Inc,20102010.0
380,HRL,HORMEL FOODS,Hormel Foods Corp,45102020.0
381,HSIC.O,HENRY SCHEIN,Henry Schein Inc,20102015.0
382,HST.O,HST HTL&RSRT O,Host Hotels & Resorts Inc,35102015.0
383,HSY,HERSHEY CO,Hershey Co,45102020.0
384,HUBB.K,HUBBELL INCRPR,Hubbell Inc,50202010.0
385,HUM,HUMANA INC,Humana Inc,20101020.0
386,HWC.O,HNCOCK WHTNY C,Hancock Whitney Corp,30101010.0
387,HWM,HOWMET ARSPC O,Howmet Aerospace Inc,50201010.0
388,HXL,HEXCEL CORP,Hexcel Corp,55101000.0
389,IAA,IAA INC,IAA Inc,40201070.0
390,IART.O,INTEGRA LIFESC,Integra Lifesciences Holdings Corp,20102010.0
391,IBKR.O,Intractiv Brkr,Interactive Brokers Group Inc,30202015.0
392,IBM,INTL BUS MACHI,International Business Machines Corp,10101010.0
393,IBOC.O,INTL BANCSHARE,International Bancshares Corp,30101010.0
